iter	Passed	Remaining
0	2	241
1	4	200
2	5	178
3	6	165
4	8	162
5	10	160
6	11	154
7	13	149
8	14	144
9	15	139
10	16	136
11	18	132
12	19	128
13	20	124
14	21	119
15	22	115
16	22	112
17	23	108
18	24	105
19	25	102
20	26	99
21	27	97
22	28	95
23	29	94
24	30	92
25	32	91
26	33	89
27	34	88
28	35	86
29	36	84
30	37	82
31	38	80
32	38	79
33	39	77
34	40	75
35	41	73
36	42	72
37	43	71
38	44	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	44
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	75	37
67	76	36
68	78	35
69	79	34
70	80	32
71	82	32
72	83	30
73	84	29
74	85	28
75	87	27
76	88	26
77	89	25
78	90	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
