iter	Passed	Remaining
0	148	148195
1	148	74348
2	149	49820
3	151	37775
4	152	30389
5	154	25549
6	155	22078
7	156	19393
8	158	17452
9	160	15849
10	161	14514
11	162	13395
12	163	12436
13	164	11610
14	166	10908
15	167	10284
16	168	9729
17	168	9214
18	169	8751
19	170	8354
20	171	7986
21	172	7670
22	173	7381
23	174	7101
24	175	6848
25	176	6614
26	177	6381
27	177	6165
28	178	5973
29	179	5792
30	179	5622
31	180	5459
32	181	5307
33	181	5165
34	182	5029
35	183	4901
36	183	4782
37	184	4666
38	185	4565
39	185	4460
40	186	4361
41	187	4272
42	188	4185
43	188	4101
44	189	4021
45	190	3944
46	190	3870
47	191	3797
48	192	3727
49	192	3659
50	193	3594
51	193	3530
52	194	3469
53	194	3411
54	195	3355
55	195	3301
56	196	3249
57	196	3199
58	197	3150
59	198	3103
60	198	3058
61	199	3013
62	199	2971
63	200	2929
64	200	2889
65	201	2853
66	202	2816
67	202	2779
68	203	2744
69	203	2709
70	204	2675
71	205	2642
72	205	2610
73	206	2579
74	206	2548
75	207	2519
76	207	2491
77	208	2463
78	208	2435
79	209	2408
80	209	2381
81	210	2356
82	210	2327
83	211	2303
84	211	2279
85	212	2256
86	212	2233
87	213	2211
88	213	2189
89	214	2168
90	215	2149
91	215	2129
92	216	2111
93	217	2093
94	217	2074
95	218	2055
96	218	2038
97	219	2021
98	220	2004
99	220	1987
100	221	1970
101	221	1954
102	222	1938
103	223	1922
104	223	1907
105	224	1891
106	224	1876
107	225	1861
108	225	1846
109	226	1832
110	227	1818
111	227	1805
112	228	1791
113	228	1778
114	229	1764
115	229	1751
116	230	1738
117	230	1725
118	231	1714
119	232	1703
120	233	1692
121	233	1680
122	234	1669
123	234	1657
124	235	1645
125	235	1635
126	236	1623
127	236	1612
128	237	1602
129	237	1591
130	238	1580
131	238	1570
132	239	1560
133	240	1551
134	240	1541
135	241	1531
136	241	1522
137	242	1513
138	242	1504
139	243	1495
140	244	1486
141	244	1476
142	244	1467
143	245	1459
144	246	1451
145	246	1443
146	247	1436
147	248	1428
148	248	1421
149	249	1413
150	249	1405
151	250	1397
152	251	1389
153	251	1382
154	252	1374
155	252	1367
156	253	1360
157	253	1352
158	254	1345
159	254	1338
160	255	1330
161	255	1324
162	256	1317
163	257	1310
164	257	1304
165	258	1297
166	258	1291
167	259	1284
168	259	1277
169	260	1271
170	261	1265
171	261	1260
172	262	1256
173	263	1251
174	264	1245
175	264	1239
176	265	1233
177	265	1227
178	266	1221
179	266	1215
180	267	1210
181	268	1204
182	268	1198
183	269	1193
184	269	1187
185	270	1181
186	270	1176
187	271	1170
188	271	1165
189	272	1160
190	272	1155
191	273	1149
192	273	1144
193	274	1139
194	275	1135
195	276	1132
196	276	1127
197	277	1123
198	277	1118
199	278	1114
200	279	1109
201	279	1104
202	280	1100
203	280	1095
204	281	1090
205	281	1086
206	282	1081
207	282	1077
208	283	1072
209	284	1068
210	284	1064
211	285	1059
212	285	1055
213	286	1050
214	286	1046
215	287	1042
216	287	1038
217	288	1033
218	288	1029
219	289	1025
220	289	1021
221	290	1019
222	291	1015
223	292	1012
224	292	1008
225	293	1005
226	294	1001
227	294	997
228	295	994
229	295	990
230	296	986
231	297	983
232	297	979
233	298	975
234	298	972
235	299	968
236	299	964
237	300	961
238	300	958
239	301	954
240	302	951
241	302	948
242	303	944
243	303	941
244	304	938
245	305	934
246	305	932
247	306	929
248	307	926
249	307	923
250	308	920
251	309	917
252	309	914
253	310	911
254	310	908
255	311	905
256	312	902
257	312	899
258	313	896
259	313	893
260	314	890
261	315	887
262	315	884
263	316	881
264	316	878
265	317	875
266	317	872
267	318	869
268	318	866
269	319	864
270	320	861
271	321	859
272	321	856
273	322	854
274	323	851
275	323	849
276	324	847
277	325	844
278	325	841
279	326	839
280	326	836
281	327	833
282	328	831
283	328	828
284	329	826
285	329	823
286	330	820
287	330	818
288	331	815
289	332	813
290	332	810
291	333	807
292	333	805
293	334	803
294	335	800
295	335	798
296	336	796
297	337	794
298	337	792
299	338	789
300	339	787
301	339	784
302	340	782
303	340	780
304	341	777
305	341	775
306	342	772
307	343	770
308	343	768
309	344	765
310	344	763
311	345	761
312	345	758
313	346	756
314	346	754
315	347	751
316	347	749
317	348	747
318	348	744
